day_of_year,hour,temperature_c,humidity,pressure_hpa,wind_speed_mps,dew_point_c,cloud_base_km,aerosol_index,precipitation_mm,cloud_type,next_day_temperature_c
232.0,17.0,5.561870117308114,62.574834235070966,1003.2038143966382,2.141482335312083,-1.5716992563038548,1.1448383562528819,0.9790326650421171,0.7180262136626815,cumulus,6.116729024831146
276.0,22.0,1.3998437534112673,69.19152828603795,1010.7022906700258,7.959485653966862,-4.361707871992066,0.8770467723209198,0.7865275239662084,2.7109746916041955,cumulus,0.675664479070995
308.0,0.0,6.969367549087997,65.22796910774592,1014.562116914668,2.4596280514830293,-0.19899782927270918,2.044320834229405,0.9642021237007073,0,cumulus,5.506440270057206
43.0,22.0,19.668339179559062,74.27028000527487,1016.7117385667972,5.2587132043606655,14.510469794616013,1.7546349988298036,1.09056240679566,2.678705566333035,stratus,20.010182973068947
110.0,6.0,29.012811434239193,51.22784449661986,1007.9575536511738,3.8786549796824654,19.922974004994703,2.4563434567298583,1.0977896616611527,0,cumulonimbus,30.437376240599047
61.0,4.0,27.157519323534224,57.7498473152689,1023.1311439882488,2.0514318343229063,19.101273677271955,1.7035910119990982,0.9524816401100402,0,cumulus,27.147773565433642
60.0,12.0,22.4934482109543,60.89940521329892,1015.241870575316,3.66839308624886,16.25704905021154,1.5027736300317025,0.8846785604861258,1.027314036099154,cumulus,22.934210812057053
313.0,10.0,10.056594678580277,62.52992075377759,1019.5714369031253,3.464456576178172,2.7473185188845495,2.3256082976320904,1.090452739194503,0.5744162926099112,cumulus,8.99989837289646
322.0,4.0,11.236376963044922,73.73259037952133,1012.7479818068222,1.908070840671682,5.36593453057454,0.855364108185526,0.9336302341831055,0.8361610614474433,stratus,11.56350642908642
25.0,3.0,23.67075625147044,63.263472630934274,1018.3305455484658,3.64686675526589,17.307520231204595,2.1528852467951496,0.8533199074807077,0,cumulus,23.63359198754425
65.0,7.0,25.26143807749229,57.275353844298365,1015.0112465619962,2.3056275604439875,16.559801709415844,2.1391202273918752,0.8614104186145923,0,cumulus,26.290791516033217
189.0,16.0,9.559804629438405,68.03459785268848,1003.5767763160957,7.0340979647152855,4.129018622012984,1.5711074146414525,1.0089133275874955,4.547283377219662,cumulus,9.428778189252217
18.0,0.0,17.470615991039768,60.947990308276104,1021.9110306304974,1.7407276002000351,9.872678703161611,1.4614281008613534,0.9803265745764163,2.533783079239455,cumulus,18.213824509792556
67.0,10.0,24.507383428573025,66.19986622531582,1022.6025405812567,3.8565560519620954,17.038644242571305,2.320288400261219,0.8197935632083433,0.050485248475977795,cumulus,24.339134862708438
312.0,2.0,11.34187645536532,73.80966642103495,1025.2858341173403,7.732901284079319,6.0520049155579585,1.3960711307426774,0.813089605652679,0.8338698342297737,cumulus,11.542988327816785
